timestamp,open,high,low,close,volume,return_1d,sma_5,rsi_14,next_week_close,weekly_return,label,ticker
2023-01-27,138.12,147.23,137.9,145.93,338647615.0,0.057350389527803025,143.078,92.319667810458,154.5,0.05872678681559647,Bullish,AAPL
2023-02-03,144.955,157.38,141.32,154.5,480230974.0,0.05830606605191668,147.608,84.7535210849807,151.01,-0.022588996763754105,Bearish,AAPL
2023-02-10,152.575,155.23,149.22,151.01,330096887.0,-0.022320437064880294,152.036,66.390728446044,152.55,0.010198000132441697,Bullish,AAPL
2023-02-17,150.952,156.33,150.85,152.55,316801848.0,0.010509114254028562,153.728,66.1809555768711,146.71,-0.03828253031792857,Bearish,AAPL
2023-02-24,150.2,151.3,145.7202,146.71,213087040.0,-0.038498540741964904,149.20999999999998,34.838458525195136,151.03,0.029445845545634196,Bullish,AAPL
2023-03-03,147.71,151.11,143.9,151.03,274029559.0,0.029773000340273414,147.516,50.0390319789014,148.5,-0.016751638747268763,Bearish,AAPL
2023-03-10,153.785,156.3,147.6096,148.5,313291919.0,-0.01637322734431479,151.478,42.73933307284507,155.0,0.04377104377104377,Bullish,AAPL
2023-03-17,147.805,156.74,147.7,155.0,408822433.0,0.04321665438771172,153.38,63.01470584991892,160.25,0.03387096774193549,Bullish,AAPL
2023-03-24,155.07,162.14,154.15,160.25,348487414.0,0.03359956435175793,158.738,63.253509459721315,164.9,0.02901716068642749,Bullish,AAPL
2023-03-31,159.94,165.0,155.98,164.9,267648190.0,0.029051247902941113,160.792,79.77713573599345,164.66,-0.0014554275318375324,Consolidation,AAPL
2023-04-07,164.27,166.84,161.8,164.66,200156349.0,-0.0013424243214424925,165.024,71.39061111605545,165.21,0.0033402162030852145,Consolidation,AAPL
2023-04-14,161.42,166.32,159.78,165.21,263030790.0,0.004072920770479049,162.74,59.99999996612905,165.02,-0.001150051449670103,Consolidation,AAPL
2023-04-21,165.09,168.16,164.03,165.02,249245409.0,-0.0010332160288892833,166.2,50.30030026505486,169.68,0.028239001333171716,Bullish,AAPL
2023-04-28,165.0,169.85,162.8,169.68,255764320.0,0.028318157215862172,166.19,68.59504127562806,173.57,0.022925506836397845,Bullish,AAPL
